City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,12.49,91,100,14.16,SH,1697399161
1,albany,42.6001,-73.9662,13.36,59,100,4.75,US,1697399013
2,talnakh,69.4865,88.3972,-8.77,92,22,0.63,RU,1697399161
3,mezica,46.5214,14.8544,7.66,99,82,0.67,SI,1697399161
4,glace bay,46.1969,-59.957,14.94,78,100,3.13,CA,1697399161
5,iskateley,67.6803,53.1512,0.57,87,100,8.94,RU,1697399161
6,peace river,56.2501,-117.286,8.17,87,100,3.6,CA,1697398865
7,port-aux-francais,-49.35,70.2167,1.02,70,100,13.09,TF,1697399161
8,iqaluit,63.7506,-68.5145,0.85,74,75,3.6,CA,1697399018
9,vorgashor,67.5833,63.95,-1.04,90,100,6.55,RU,1697399103
10,pariaman,-0.619,100.12,25.03,89,88,1.17,ID,1697399162
11,adamstown,-25.066,-130.1015,21.79,81,18,3.01,PN,1697399162
12,ust'-barguzin,53.45,108.9833,3.94,70,97,2.24,RU,1697399162
13,corund,46.4667,25.1833,9.07,96,100,4.22,RO,1697399162
14,waitangi,-43.9535,-176.5597,11.57,81,52,6.71,NZ,1697399162
15,san luis de la loma,17.2706,-100.8939,29.46,77,100,2.14,MX,1697399162
16,stanley,54.868,-1.6985,6.7,88,0,1.54,GB,1697399089
17,nuku'alofa,-21.1333,-175.2,23.19,83,40,5.14,TO,1697399162
18,sitka,57.0531,-135.33,10.94,87,100,0.0,US,1697399163
19,east ballina,-28.8667,153.5833,19.89,81,5,3.74,AU,1697399163
20,carnarvon,-24.8667,113.6333,25.49,36,7,5.0,AU,1697399163
21,longyearbyen,78.2186,15.6401,-1.09,80,75,6.69,SJ,1697399163
22,marrakesh,31.6315,-8.0083,29.04,28,75,1.03,MA,1697399072
23,grytviken,-54.2811,-36.5092,1.51,91,54,5.22,GS,1697399011
24,vera,-29.4593,-60.2126,31.47,26,3,3.41,AR,1697399163
25,west lafayette,40.4259,-86.9081,13.56,74,100,4.63,US,1697399163
26,moses lake,47.1301,-119.2781,18.2,52,40,1.54,US,1697399103
27,aykhal,66.0,111.5,-7.18,85,100,2.24,RU,1697399163
28,kingston,17.997,-76.7936,32.36,69,20,2.57,JM,1697398876
29,suwalki,54.1118,22.9309,6.83,65,58,6.72,PL,1697398993
30,punta arenas,-53.15,-70.9167,10.06,50,40,11.83,CL,1697399164
31,college,64.8569,-147.8028,1.15,92,100,2.06,US,1697399164
32,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,88,75,2.24,RU,1697399055
33,puerto ayora,-0.7393,-90.3518,29.98,87,93,2.68,EC,1697399164
34,niagara falls,43.1001,-79.0663,10.7,82,100,6.17,CA,1697398865
35,san antonio,29.4241,-98.4936,27.03,27,0,7.72,US,1697398963
36,puerto natales,-51.7236,-72.4875,11.25,46,40,10.29,CL,1697399164
37,callao,-12.0667,-77.15,21.16,73,75,2.06,PE,1697399164
38,bredasdorp,-34.5322,20.0403,14.44,97,12,1.63,ZA,1697399165
